flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.469143,0.000000,0.54,0.00
0.475429,0.000000,0.54,0.00
0.481857,0.000000,0.55,0.00
0.488000,0.000000,0.55,0.00
0.494143,0.000000,0.56,0.00
0.500000,0.000000,0.57,0.00
0.506000,0.000000,0.58,0.00
0.511714,0.000000,0.60,0.00
0.517429,0.000000,0.62,0.00
0.523000,0.000000,0.64,0.00
0.528429,0.000000,0.66,0.00
0.533714,0.000000,0.68,0.00
0.539000,0.000000,0.71,0.00
0.544000,0.000000,0.74,0.00
0.549000,0.000000,0.77,0.00
0.553857,0.000000,0.80,0.00
0.558714,0.000000,0.83,0.00
0.563286,0.000000,0.87,0.00
0.567857,0.000000,0.90,0.00
0.572143,0.000000,0.94,0.00
0.576429,0.000000,0.97,0.00
0.580571,0.000000,1.01,0.00
0.584571,0.000000,1.04,0.00
0.588429,0.000000,1.08,0.00
0.592286,0.000000,1.12,0.00
0.595857,0.000000,1.15,0.00
0.599429,0.000000,1.19,0.00
0.602714,0.000000,1.23,0.00
0.606000,0.000000,1.26,0.00
0.609143,0.000000,1.30,0.00
0.612000,0.000000,1.34,0.00
0.614857,0.000000,1.37,0.00
0.617571,0.000000,1.41,0.00
0.620143,0.000000,1.44,0.00
0.622571,0.000000,1.48,0.00
0.624857,0.000000,1.51,0.00
0.627000,0.000000,1.54,0.00
0.629143,0.000000,1.58,0.00
0.631000,0.000000,1.61,0.00
0.632714,0.000000,1.65,0.00
0.634286,0.000000,1.69,0.00
0.635857,0.000000,1.72,0.00
0.637143,0.000000,1.76,0.00
0.638286,0.000000,1.80,0.00
0.639429,0.000000,1.84,0.00
0.640286,0.000000,1.87,0.00
0.641143,0.000000,1.91,0.00
0.641714,0.000000,1.94,0.00
0.642286,0.000000,1.97,0.00
0.642571,0.000000,2.00,0.00
0.642857,0.000000,2.03,0.00
0.642857,0.000000,2.05,0.00
0.642857,0.000000,2.08,0.00
0.642571,0.000000,2.10,0.00
0.642286,0.000000,2.12,0.00
0.641714,0.000000,2.14,0.00
0.641143,0.000000,2.15,0.00
0.640286,0.000000,2.17,0.00
0.639429,0.000000,2.18,0.00
